N,Time
15,0.000039
88,0.000114
161,0.000215
234,0.000354
307,0.000554
380,0.000795
453,0.000994
526,0.001228
599,0.001602
672,0.001968
745,0.002476
818,0.002938
891,0.00332
964,0.003939
1037,0.004706
1110,0.005574
1183,0.006028
1256,0.00675
1329,0.007634
1402,0.008569
1475,0.009787
1548,0.010854
1621,0.011363
1694,0.022745
1767,0.026769
1840,0.028394
1913,0.029528
1986,0.030948
2059,0.033384
2132,0.035634
2205,0.037677
2278,0.040474
2351,0.042695
2424,0.044391
2497,0.047688
2570,0.050182
2643,0.053633
2716,0.054808
2789,0.056026
2862,0.058178
2935,0.034359
3008,0.026467
3081,0.027711
3154,0.029363
3227,0.030638
3300,0.032959
3373,0.052304
3446,0.081935
3519,0.084978
3592,0.061121
3665,0.054665
3738,0.04979
3811,0.043322
3884,0.044063
3957,0.051338
4030,0.114461
4103,0.099974
4176,0.082006
4249,0.140099
4322,0.131475
4395,0.136094
4468,0.075137
4541,0.083734
4614,0.179863
4687,0.162443
4760,0.156292
4833,0.179514
4906,0.181973
4979,0.124425
5052,0.075363
5125,0.155967
5198,0.189394
5271,0.103135
5344,0.19147
5417,0.114217
5490,0.147689
5563,0.224108
5636,0.235229
5709,0.147888
5782,0.121939
5855,0.188743
5928,0.242443
6001,0.242277
6074,0.223501
6147,0.230085
6220,0.1671
6293,0.159287
6366,0.172701
6439,0.150471
6512,0.231678
6585,0.23639
6658,0.222496
6731,0.191018
6804,0.323437
6877,0.218033
6950,0.34134
7023,0.26802
7096,0.268358
7169,0.357187
7242,0.34401
7315,0.315894
7388,0.31144
7461,0.305015
7534,0.197323
7607,0.253373
7680,0.30716
7753,0.433666
7826,0.389712
7899,0.434684
7972,0.455311
8045,0.269801
8118,0.4115
8191,0.47357
8264,0.49132
8337,0.34687
8410,0.322872
8483,0.35761
8556,0.439451
8629,0.498635
8702,0.436887
8775,0.571272
8848,0.554228
8921,0.539695
8994,0.446447
9067,0.616974
9140,0.594176
9213,0.617739
9286,0.559901
9359,0.624008
9432,0.32447
9505,0.407777
9578,0.620163
9651,0.665328
9724,0.509855
9797,0.651392
9870,0.464393
9943,0.485995
10016,0.671737
10089,0.65471
10162,0.515371
10235,0.566418
10308,0.74233
10381,0.709719
10454,0.676906
10527,0.668981
10600,0.621058
10673,0.442452
10746,0.693431
10819,0.619198
10892,0.59199
10965,0.584963
11038,0.737121
11111,0.437863
19440,2.002575
20000,3.034509
35909,8.817056
50000,16.897545
57881,24.309408
77230,44.247234
86122,57.198827
90846,69.227972
93207,60.319115
94727,67.376464
99364,87.654345
107829,101.198115
111110,94.155203
